drug_code,drug_name,insurance_status,insurance_status_normalized,hospital_status,hospital_status_normalized,document_office_status,document_office_status_normalized,file_required_status,file_required_normalized,max_prescription,hard_to_treat_status,hard_to_treat_normalized,barcode_required_status,barcode_required_normalized,electronic_prescription_only_status,electronic_prescription_only_normalized,price_without_subsidy,organization_share_percent_without_subsidy,government_subsidy,accepted_total_price,related_specialties_button,unrelated_specialties_button,source_page
21537,TOBRAMYCIN 28 mg POWDER RESPIRATORY CAPSULE,است,covered,است,True,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,480000,70.0,0,480000,True,True,149
06435,TRIENTINE DIHYDROCHLORIDE 300 mg CAPSULE ORAL CAPSULE,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,1205172,90.0,1394829,2600001,True,True,149
11607,"MYCOPHENOLIC ACID 360 mg TABLET, DELAYED RELEASE ORAL TABLET",است,covered,نيست,False,خير,False,خير,False,120,است,True,بله,True,است,True,100000,100.0,300000,400000,True,True,149
04864,"RINGERS 500 mL INJECTION, SOLUTION INTRAVENOUS INFUSION",است,covered,نيست,False,خير,False,خير,False,10,نيست,False,بله,True,نيست,False,1250000,70.0,0,1250000,True,True,149
04907,"DEXTROSE / SODIUM CHLORIDE 3.33 %/0.3 % 500 mL INJECTION, SOLUTION INTRAVENOUS INFUSION",است,covered,نيست,False,خير,False,خير,False,10,است,True,بله,True,است,True,1000000,70.0,0,1000000,True,True,150
11151,ALFENTANIL 0.5 mg/1mL 5 mL INJECTION PARENTERAL INJECTION,است,covered,است,True,خير,False,خير,False,10,نيست,False,بله,True,نيست,False,500000,70.0,0,500000,True,True,150
17397,"ZOLEDRONIC ACID 5 mg/100mL INJECTION, SOLUTION PARENTERAL INFUSION",است,covered,نيست,False,خير,False,خير,False,1,است,True,بله,True,است,True,3935669,70.0,989131,4924800,True,True,150
23125,"GLATIRAMER ACETATE 40 mg/1mL INJECTION, SOLUTION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,2185612,90.0,1214388,3400000,True,True,150
13830,"CARBOPLATIN 10 mg/1mL 45 mL INJECTION, SOLUTION, CONCENTRATE INTRAVENOUS INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,15174594,90.0,18825406,34000000,True,True,150
21097,"BOTULINUM A TOXIN 50 [iU] INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,7542000,70.0,0,7542000,True,True,150
11464,TERIPARATIDE 250 ug/1mL 2.4 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,بله,True,طبق پرونده,نيست,False,بله,True,است,True,29525340,70.0,5474660,35000000,True,True,150
08004,LABETALOL HYDROCHLORIDE 5 mg/1mL 20 mL INJECTION PARENTERAL INJECTION,است,covered,است,True,خير,False,خير,False,5,نيست,False,بله,True,نيست,False,1148800,70.0,651200,1800000,True,True,150
12312,"PANCREATIN 25000 [iU] CAPSULE, DELAYED RELEASE PELLETS ORAL CAPSULE",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,522800,70.0,70200,593000,True,True,150
15917,DICLOFENAC POTASSIUM 50 mg TABLET ORAL TABLET,است,covered,نيست,False,خير,False,خير,False,60,نيست,False,خير,False,نيست,False,22667,70.0,333,23000,True,True,150
17336,BECLOMETHASONE DIPROPIONATE 100 ug/1{dose} 200 {Puff} INHALANT RESPIRATORY SPRAY,است,covered,نيست,False,خير,False,خير,False,2,نيست,False,بله,True,نيست,False,563500,70.0,219500,783000,True,True,151
21266,"SURFACTANT (BOVINE LIPID EXTRACT) 27 mg/1mL 5 mL INJECTION, SUSPENSION TRANSTRACHEAL INJECTION",است,covered,است,True,خير,False,خير,False,1,نيست,False,بله,True,نيست,False,89285600,90.0,150324400,239610000,True,True,151
22396,HEPATITIS B IMMUNE GLOBULIN 50 [iU]/1mL 2 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,1,نيست,False,بله,True,نيست,False,855900,95.0,0,855900,True,True,151
22398,HEPATITIS B IMMUNE GLOBULIN 50 [iU]/1mL 40 mL INJECTION PARENTERAL INJECTION,است,covered,نيست,False,خير,False,خير,False,1,نيست,False,بله,True,است,True,17176100,95.0,127793900,144970000,True,True,151
11954,CROMOLYN SODIUM 20 mg/1mL 20 mL SPRAY NASAL,است,covered,نيست,False,خير,False,خير,False,2,نيست,False,خير,False,نيست,False,731042,70.0,148958,880000,True,True,151
13291,"CEFTRIAXONE (AS SODIUM) 2 g INJECTION, POWDER, FOR SOLUTION PARENTERAL",است,covered,است,True,خير,False,خير,False,20,نيست,False,خير,False,نيست,False,40000,70.0,85393,125393,True,True,151
13879,"PACLITAXEL (ALBUMIN BAND) NANO 100 mg INJECTION, POWDER, FOR SUSPENSION PARENTERAL INJECTION",است,covered,نيست,False,خير,False,بله,True,طبق پرونده,است,True,بله,True,است,True,29000000,90.0,33000000,62000000,True,True,151
